PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch
1,0,3,male,0,1,0
2,1,1,female,0,1,0
3,1,3,female,0,0,0
4,1,1,female,0,1,0
5,0,3,male,0,0,0
6,0,3,male,0,0,0
7,0,1,male,0,0,0
8,0,3,male,1,3,1
9,1,3,female,0,0,2
10,1,2,female,1,1,0
11,1,3,female,1,1,1
12,1,1,female,0,0,0
13,0,3,male,0,0,0
14,0,3,male,0,1,5
15,0,3,female,1,0,0
16,1,2,female,0,0,0
17,0,3,male,1,4,1
18,1,2,male,0,0,0
19,0,3,female,0,1,0
20,1,3,female,0,0,0
21,0,2,male,0,0,0
22,1,2,male,0,0,0
23,1,3,female,1,0,0
24,1,1,male,0,0,0
25,0,3,female,1,3,1
26,1,3,female,0,1,5
27,0,3,male,0,0,0
28,0,1,male,0,3,2
29,1,3,female,0,0,0
30,0,3,male,0,0,0
31,0,1,male,0,0,0
32,1,1,female,0,1,0
33,1,3,female,0,0,0
34,0,2,male,0,0,0
35,0,1,male,0,1,0
36,0,1,male,0,1,0
37,1,3,male,0,0,0
38,0,3,male,0,0,0
39,0,3,female,1,2,0
40,1,3,female,1,1,0
41,0,3,female,0,1,0
42,0,2,female,0,1,0
43,0,3,male,0,0,0
44,1,2,female,1,1,2
45,1,3,female,0,0,0
46,0,3,male,0,0,0
47,0,3,male,0,1,0
48,1,3,female,0,0,0
49,0,3,male,0,2,0
50,0,3,female,1,1,0
51,0,3,male,1,4,1
52,0,3,male,0,0,0
53,1,1,female,0,1,0
54,1,2,female,0,1,0
55,0,1,male,0,0,1
56,1,1,male,0,0,0
57,1,2,female,0,0,0
58,0,3,male,0,0,0
59,1,2,female,1,1,2
60,0,3,male,1,5,2
61,0,3,male,0,0,0
62,1,1,female,0,0,0
63,0,1,male,0,1,0
64,0,3,male,1,3,2
65,0,1,male,0,0,0
66,1,3,male,0,1,1
67,1,2,female,0,0,0
68,0,3,male,0,0,0
69,1,3,female,1,4,2
70,0,3,male,0,2,0
71,0,2,male,0,0,0
72,0,3,female,1,5,2
73,0,2,male,0,0,0
74,0,3,male,0,1,0
75,1,3,male,0,0,0
76,0,3,male,0,0,0
77,0,3,male,0,0,0
78,0,3,male,0,0,0
79,1,2,male,1,0,2
80,1,3,female,0,0,0
81,0,3,male,0,0,0
82,1,3,male,0,0,0
83,1,3,female,0,0,0
84,0,1,male,0,0,0
85,1,2,female,1,0,0
86,1,3,female,0,3,0
87,0,3,male,1,1,3
88,0,3,male,0,0,0
89,1,1,female,0,3,2
90,0,3,male,0,0,0
91,0,3,male,0,0,0
92,0,3,male,0,0,0
93,0,1,male,0,1,0
94,0,3,male,0,1,2
95,0,3,male,0,0,0
96,0,3,male,0,0,0
97,0,1,male,0,0,0
98,1,1,male,0,0,1
99,1,2,female,0,0,1
100,0,2,male,0,1,0
101,0,3,female,0,0,0
102,0,3,male,0,0,0
103,0,1,male,0,0,1
104,0,3,male,0,0,0
105,0,3,male,0,2,0
106,0,3,male,0,0,0
107,1,3,female,0,0,0
108,1,3,male,0,0,0
109,0,3,male,0,0,0
110,1,3,female,0,1,0
111,0,1,male,0,0,0
112,0,3,female,1,1,0
113,0,3,male,0,0,0
114,0,3,female,0,1,0
115,0,3,female,1,0,0
116,0,3,male,0,0,0
117,0,3,male,0,0,0
118,0,2,male,0,1,0
119,0,1,male,0,0,1
120,0,3,female,1,4,2
121,0,2,male,0,2,0
122,0,3,male,0,0,0
123,0,2,male,0,1,0
124,1,2,female,0,0,0
125,0,1,male,0,0,1
126,1,3,male,1,1,0
127,0,3,male,0,0,0
128,1,3,male,0,0,0
129,1,3,female,0,1,1
130,0,3,male,0,0,0
131,0,3,male,0,0,0
132,0,3,male,0,0,0
133,0,3,female,0,1,0
134,1,2,female,0,1,0
135,0,2,male,0,0,0
136,0,2,male,0,0,0
137,1,1,female,0,0,2
138,0,1,male,0,1,0
139,0,3,male,1,0,0
140,0,1,male,0,0,0
141,0,3,female,0,0,2
142,1,3,female,0,0,0
143,1,3,female,0,1,0
144,0,3,male,0,0,0
145,0,2,male,1,0,0
146,0,2,male,0,1,1
147,1,3,male,0,0,0
148,0,3,female,1,2,2
149,0,2,male,0,0,2
150,0,2,male,0,0,0
151,0,2,male,0,0,0
152,1,1,female,0,1,0
153,0,3,male,0,0,0
154,0,3,male,0,0,2
155,0,3,male,0,0,0
156,0,1,male,0,0,1
157,1,3,female,1,0,0
158,0,3,male,0,0,0
159,0,3,male,0,0,0
160,0,3,male,0,8,2
161,0,3,male,0,0,1
162,1,2,female,0,0,0
163,0,3,male,0,0,0
164,0,3,male,1,0,0
165,0,3,male,1,4,1
166,1,3,male,1,0,2
167,1,1,female,0,0,1
168,0,3,female,0,1,4
169,0,1,male,0,0,0
170,0,3,male,0,0,0
171,0,1,male,0,0,0
172,0,3,male,1,4,1
173,1,3,female,1,1,1
174,0,3,male,0,0,0
175,0,1,male,0,0,0
176,0,3,male,1,1,1
177,0,3,male,0,3,1
178,0,1,female,0,0,0
179,0,2,male,0,0,0
180,0,3,male,0,0,0
181,0,3,female,0,8,2
182,0,2,male,0,0,0
183,0,3,male,1,4,2
184,1,2,male,1,2,1
185,1,3,female,1,0,2
186,0,1,male,0,0,0
187,1,3,female,0,1,0
188,1,1,male,0,0,0
189,0,3,male,0,1,1
190,0,3,male,0,0,0
191,1,2,female,0,0,0
192,0,2,male,0,0,0
193,1,3,female,0,1,0
194,1,2,male,1,1,1
195,1,1,female,0,0,0
196,1,1,female,0,0,0
197,0,3,male,0,0,0
198,0,3,male,0,0,1
199,1,3,female,0,0,0
200,0,2,female,0,0,0
201,0,3,male,0,0,0
202,0,3,male,0,8,2
203,0,3,male,0,0,0
204,0,3,male,0,0,0
205,1,3,male,1,0,0
206,0,3,female,1,0,1
207,0,3,male,0,1,0
208,1,3,male,0,0,0
209,1,3,female,1,0,0
210,1,1,male,0,0,0
211,0,3,male,0,0,0
212,1,2,female,0,0,0
213,0,3,male,0,0,0
214,0,2,male,0,0,0
215,0,3,male,0,1,0
216,1,1,female,0,1,0
217,1,3,female,0,0,0
218,0,2,male,0,1,0
219,1,1,female,0,0,0
220,0,2,male,0,0,0
221,1,3,male,1,0,0
222,0,2,male,0,0,0
223,0,3,male,0,0,0
224,0,3,male,0,0,0
225,1,1,male,0,1,0
226,0,3,male,0,0,0
227,1,2,male,0,0,0
228,0,3,male,0,0,0
229,0,2,male,1,0,0
230,0,3,female,0,3,1
231,1,1,female,0,1,0
232,0,3,male,0,0,0
233,0,2,male,0,0,0
234,1,3,female,1,4,2
